year,tests_in_run,subtests_total,chrome_version,source_url
2018,25152,1554462,"63.0","https://wpt.fyi/api/runs"
2019,31925,1614805,"72.0.3626.109","https://wpt.fyi/api/runs"
2020,42027,1696630,"80.0.3987.116","https://wpt.fyi/api/runs"
2021,39954,1752239,"88.0.4324.182","https://wpt.fyi/api/runs"
2022,45051,1786884,"98.0.4758.102","https://wpt.fyi/api/runs"
2023,50216,1801347,"110.0.5481.100","https://wpt.fyi/api/runs"
2024,55050,1838799,"121.0.6167.184","https://wpt.fyi/api/runs"
2025,60588,2010839,"133.0.6943.126","https://wpt.fyi/api/runs"
2026,65293,2156940,"145.0.7632.76","https://wpt.fyi/api/runs"
